Ticker_name,Date,Close
Corn,2000-08-30,181.5
Corn,2000-08-31,182.0
Corn,2000-09-01,183.25
Corn,2000-09-05,183.5
Corn,2000-09-06,186.25
Corn,2000-09-07,181.0
Corn,2000-09-08,181.75
Corn,2000-09-11,184.25
Corn,2000-09-12,186.0
Corn,2000-09-13,182.5
Corn,2000-09-14,181.0
Corn,2000-09-18,184.0
Corn,2000-09-19,185.0
Corn,2000-09-20,183.5
Corn,2000-09-21,183.75
Corn,2000-09-22,186.25
Corn,2000-09-25,186.25
Corn,2000-09-26,190.0
Corn,2000-09-27,190.5
Corn,2000-09-28,190.5
Corn,2000-09-29,192.0
Corn,2000-10-02,192.0
Corn,2000-10-03,195.25
Corn,2000-10-04,199.5
Corn,2000-10-05,200.5
Corn,2000-10-06,199.5
Corn,2000-10-09,199.5
Corn,2000-10-10,197.5
Corn,2000-10-11,199.75
Corn,2000-10-12,200.5
Corn,2000-10-13,204.0
Corn,2000-10-16,204.0
Corn,2000-10-17,203.25
Corn,2000-10-18,202.0
Corn,2000-10-19,203.0
Corn,2000-10-23,200.75
Corn,2000-10-25,199.5
Corn,2000-10-26,198.0
Corn,2000-10-27,196.25
Corn,2000-10-30,196.0
Corn,2000-11-02,202.25
Corn,2000-11-06,209.5
Corn,2000-11-07,211.25
Corn,2000-11-08,213.5
Corn,2000-11-09,211.25
Corn,2000-11-13,208.75
Corn,2000-11-14,208.0
Corn,2000-11-15,208.5
Corn,2000-11-16,208.25
Corn,2000-11-17,209.25
Corn,2000-11-20,212.25
Corn,2000-11-21,210.25
Corn,2000-11-22,210.25
Corn,2000-11-24,210.75
Corn,2000-11-27,212.5
Corn,2000-11-28,209.75
Corn,2000-11-29,207.5
Corn,2000-11-30,205.0
Corn,2000-12-01,209.0
Corn,2000-12-04,210.0
Corn,2000-12-18,215.5
Corn,2000-12-21,218.0
Corn,2000-12-26,220.0
Corn,2000-12-27,220.25
Corn,2000-12-28,221.0
Corn,2000-12-29,222.5
Corn,2001-01-02,222.5
Corn,2001-01-16,218.5
Corn,2001-01-17,216.25
Corn,2001-01-18,218.75
Corn,2001-01-19,218.5
Corn,2001-01-22,214.5
Corn,2001-01-23,216.5
Corn,2001-01-24,214.25
Corn,2001-01-25,214.5
Corn,2001-01-26,214.0
Corn,2001-01-29,208.75
Corn,2001-01-30,208.75
Corn,2001-01-31,208.5
Corn,2001-02-01,208.5
Corn,2001-02-02,211.5
Corn,2001-02-05,213.0
Corn,2001-02-06,211.5
Corn,2001-02-07,214.0
Corn,2001-02-08,211.25
Corn,2001-02-09,210.25
Corn,2001-02-12,209.75
Corn,2001-02-14,210.25
Corn,2001-02-15,213.5
Corn,2001-02-16,213.0
Corn,2001-02-20,212.5
